stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"	
abiot deplet	abiotic depletion	abiotic depletion	2	6,2945575055	36,2643122592	136,573023342	4	360	x	
acidif	acidification	acidification	1	6,9499913276	39,3519771278	122,751168745	7	548	x	
actor chain	actors in a chain	actors in a chain|&|actors along the chain	4	4,7209181291	28,5563577056	241,782603336	3	228	x	
actuat	actuation	actuation|&|actuators	1	4,9642795197	34,3276206389	165,888610451	2	133	x	
adapt structur theori	adaptive structuration theory	adaptive structuration theory	3	7,9428472316	46,1980834466	231,062890985	3	158	x	
advantag disadvantag	advantages and disadvantages	advantages and disadvantages	3	11,0154756347	57,2981123768	320,213416931	7	329	x	
africa	Africa	Africa|&|africa	1	17,8714062711	96,6994560791	142,051615039	15	970	x	
aid	aid	aid|&|Aid|&|aids	1	20,8499739829	99,5556828528	117,531495056	18	915	x	
aim articl	aim of this article	aim of this article|&|aim of the article	4	9,4418362583	50,5681332296	121,685189225	6	313	ww	
aim work	aim of this work	aim of this work|&|aim of the work	4	4,7209181291	28,5563577056	164,885623362	3	172	ww	
air condition	air conditioners	air conditioners	2	6,2945575055	40,627367047	123,959314015	2	122	x	
air cool	air cooling	air cooling	2	6,2945575055	40,627367047	140,349729961	3	146	x	
air emiss	air emissions	air emissions	2	12,589115011	72,5286245184	140,429941014	4	319	x	
air pollut	air pollution	air pollution|&|air pollutant|&|Air Pollution	2	23,6045906457	112,112745555	214,632905478	13	880	x	
altern scenario	alternative scenarios	alternative scenarios	2	6,2945575055	36,2643122592	229,856898232	4	232	x	
altern solut	alternative solutions	alternative solutions	2	4,7209181291	28,5563577056	213,459401558	3	127	x	
altern technolog	alternative technologies	alternative technologies|&|technology alternatives	2	6,2945575055	36,2643122592	166,133053633	4	240	x	
altern work	alternative work	alternative work|&|work alternative	2	9,4418362583	52,2895835152	517,924822019	12	587	x	
altern arrang work	alternative work arrangements	alternative work arrangements|&|alternative work arrangement|&|alternate work arrangements	3	23,8285416948	115,222519589	454,772084511	8	398	x	
aluminium	aluminium	aluminium	1	16,8785503671	93,3152709744	105,17824878	8	533	x	
ambient intellig	ambient intelligence	ambient intelligence|&|Ambient Intelligence	2	7,8681968819	47,5939295094	183,568056176	3	163	x	
america	America	America|&|america	1	5,9571354237	34,648562585	130,184520314	12	725	x	
amount wast	amount of waste	amount of waste|&|waste amount	3	6,2945575055	36,2643122592	131,461682038	4	287	w	
analysi result	analysis results	analysis results|&|result analysis|&|analysis result|&|results of an analysis|&|results of this analysis|&|result from the analysis	2	11,0154756347	57,2981123768	149,609982265	8	349	x	
analysi tool	analysis tools	analysis tools|&|analysis tool	2	9,4418362583	50,5681332296	106,498820574	6	358	x	
analyt framework	analytical framework	analytical framework	2	9,4418362583	50,5681332296	166,908739834	6	309	x	
anthropogen	anthropogenic	anthropogenic|&|Anthropogenic	1	17,8714062711	91,5581728854	154,092416004	17	1062	x	
anthropogen phosphoru	Anthropogenic phosphorus	Anthropogenic phosphorus|&|anthropogenic phosphorus	2	6,2945575055	38,0751436075	142,535252766	3	221	x	
applic ecolog industri	application of industrial ecology	application of industrial ecology|&|application of the industrial ecology	4	9,9285590395	52,6758419438	145,212956594	5	279	x	
applic method	application of the method	application of the method|&|methods on applicability|&|Methods The application	4	4,7209181291	28,5563577056	142,949404708	3	255	ww	
applic model	application of this model	application of this model|&|application of the model	4	6,2945575055	36,2643122592	177,856911667	4	147	ww	
approach develop sustain	approach towards sustainable development	approach towards sustainable development|&|approach of sustainable development|&|sustainable approaches for the development	4	5,9571354237	34,648562585	222,262122894	3	176	x	
architectur studio	architecture studios	architecture studios	2	6,2945575055	44,9904218348	157,294633042	1	46	x	
area network	area network	area network	2	4,7209181291	28,5563577056	146,999081912	3	165	ww	
aspect environment impact	aspect of the environmental impact	aspect of the environmental impact	5	5,9571354237	34,648562585	250,211654159	3	136	x	
aspect work	aspects of work	aspects of work|&|Work Aspects|&|aspects of both work	3	7,8681968819	47,5939295094	255,554694	3	139	ww	
assess data	assessment data	assessment data	2	4,7209181291	30,4705252852	137,292846777	2	128	x	
assess method	assessment method	assessment method|&|assessment methods|&|method for the assessment|&|assessment of the method	2	12,589115011	63,8025149427	226,945182716	17	1188	x	
assess model	assessment model	assessment model	2	6,2945575055	40,627367047	160,176891887	2	80	x	
assess product	assessment of the product	assessment of the product|&|assessment of products|&|production and assessment|&|products under assessment	4	7,8681968819	43,5746529293	153,774838951	5	325	x	
assess principl	assessment principles	assessment principles	2	4,7209181291	30,4705252852	159,971231001	2	118	x	
assess result	Assessment results	Assessment results|&|results of assessment|&|assessment results|&|results of the assessment	2	6,2945575055	36,2643122592	143,072457575	4	244	x	
assess tool	assessment tools	assessment tools|&|Assessment Tool|&|assessment tool	2	9,4418362583	52,2895835152	145,494768064	5	323	x	
at-hom telework	at-home telework	at-home telework	2	4,7209181291	30,4705252852	240,326205842	2	83	x	
at&t	AT&T	AT&T	1	4,9642795197	34,3276206389	161,993562895	2	88	x	
autom	automation	automation	1	12,9071267513	69,8384960571	151,797493135	11	585	ww	
automot industri	automotive industry	automotive industry	2	7,8681968819	43,5746529293	145,043212665	5	316	x	
automot sector	automotive sector	automotive sector|&|AUTOMOTIVE SECTOR	2	4,7209181291	28,5563577056	157,772808954	3	163	x	
avail inform	available information	available information	2	4,7209181291	28,5563577056	113,331209861	3	191	ww	
averag coeffici	average coefficients	average coefficients|&|average coefficient	2	6,2945575055	44,9904218348	156,194730329	1	69	ww	
awa	AWA	AWA|&|awa	1	4,9642795197	37,7685969915	261,303598586	1	44	x	alternative workplace arrangements
bad visibl	bad visibility	bad visibility	2	4,7209181291	33,7428163761	132,33426354	1	71	x	
balanc flow materi	balances of material flows	balances of material flows|&|material flow and balance	4	5,9571354237	34,648562585	189,255340629	3	191	x	
balanc work	balancing work	balancing work	2	4,7209181291	28,5563577056	224,310657703	3	173	x	
bali	Bali	Bali|&|bali	1	4,9642795197	34,3276206389	262,245361524	2	88	x	
balines cloth industri	Balinese clothing industry	Balinese clothing industry	3	7,9428472316	49,418630858	262,245361524	2	88	x	
baltic sea	Baltic Sea	Baltic Sea|&|baltic sea	2	7,8681968819	50,7842088087	115,159827797	2	115	x	
base station	base stations	base stations|&|Base Stations	2	6,2945575055	38,0751436075	185,314518308	3	149	x	
analysi basi	basis of this analysis	basis of this analysis|&|basis of analysis	4	4,7209181291	28,5563577056	189,327472297	3	127	x	
batch design plant	batch plant design	batch plant design	3	5,9571354237	41,1931447667	176,135259879	1	40	x	
behavior chang	behavioral changes	behavioral changes|&|change behavior|&|behavior change	2	7,8681968819	47,5939295094	139,079167378	3	187	x	
best practic	best practices	best practices	2	7,8681968819	43,5746529293	163,757396503	5	251	x	
bi-level optim	bi-level optimization	bi-level optimization	2	4,7209181291	30,4705252852	200,384713841	2	100	x	
biggest challeng	biggest challenges	biggest challenges	2	6,2945575055	36,2643122592	229,227007119	4	231	ww	
bill support	bill support	bill support	2	4,7209181291	30,4705252852	244,398472756	2	80	x	
biodiesel product	biodiesel production	biodiesel production|&|production of biodiesel	2	11,0154756347	66,6315013132	105,926053486	3	210	x	
biodivers	biodiversity	biodiversity|&|Biodiversity	1	17,8714062711	88,8032834593	113,34482159	14	833	x	
