stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
kickstart	Kickstarter	Kickstarter|&|Kickstart	1	39,714236158	204,640917993	368,758917751	35,0	4310,0	 
profici	proficiency	proficiency|&|proficiencies|&|Proficiency	1	77,442760508	345,370558985	492,959500246	82,0	11645,0	 
divers	diversity	diversity|&|Diversity|&|diversion	1	277,999653106	927,836444939	207,476653873	243,0	34549,0	 
busi small	small businesses	small businesses|&|small business|&|Small businesses	2	335,185187169	1065,45932562	543,01734929	161,0	21885,0	 
crime rate	crime rate	crime rate|&|crime rates|&|rates of crime	2	89,6974444536	390,70433623	178,165625193	56,0	8406,0	 
african-american commun	African-American community	African-American community|&|African-American communities	2	53,5037387969	264,939051209	123,290604595	27,0	4512,0	 
app mobil	mobile app	mobile app|&|mobile apps|&|Mobile App	2	81,8292475717	367,120577279	159,292180763	46,0	6040,0	 
chain valu	value chain	value chain|&|value chains	2	125,89115011	520,780057762	617,178476522	61,0	8609,0	 
home return	return home	return home|&|returning home	2	69,2401325607	321,046048127	167,258645839	37,0	5668,0	 
busi school	business school	business school|&|Business School|&|business schools|&|schools and businesses|&|businesses and schools|&|School Business|&|School of Business	2	64,5192144315	297,435930494	232,799123544	45,0	5989,0	 
voter	voters	voters|&|voter|&|Voter	1	70,4927691804	361,25178631	139,754971718	45,0	6207,0	 
healthcar servic	healthcare services	healthcare services	2	50,3564600441	262,009706104	203,790084459	21,0	2795,0	 
end user	end users	end users|&|end user|&|users by the end	2	69,2401325607	328,967836009	291,868835547	33,0	4510,0	 
model role	role models	role models|&|role model	2	319,448793405	979,378589495	1874,66878807	245,0	36499,0	 
busi local	local businesses	local businesses|&|local business	2	168,379413273	640,678844601	198,284372338	85,0	12168,0	 
bike	bike	bike|&|bikes|&|Bike|&|Bikes	1	180,699774519	852,758252142	134,678951951	56,0	7198,0	 
health improv	improved health	improved health|&|improving health|&|health improvement|&|improvement in health|&|improvement of health|&|improvement for health	2	61,3719356788	281,332694833	198,162548814	39,0	5353,0	 
pride	pride	pride|&|Pride|&|PRIDE	1	124,106987994	503,157406609	158,805828974	132,0	18583,0	 
void	void	void	1	80,4213282199	355,279225394	180,190884033	73,0	10935,0	 
child mortal	child mortality	child mortality	2	40,9146237858	207,419499517	305,512875207	29,0	4076,0	 
materi raw	raw materials	raw materials	2	50,3564600441	245,755980673	172,215674564	29,0	3488,0	 
voic	voice	voice|&|voices|&|Voice|&|Voices|&|VOICE	1	519,263637765	1442,82294164	365,767061737	405,0	55216,0	 
govern	government	government|&|Government|&|governments|&|governance|&|Governance|&|Governments|&|GOVERNMENT	1	1538,92665112	2732,72664022	851,447324567	1342,0	177731,0	 
area oper	areas of operation	areas of operation|&|area of operation|&|operation area|&|operation areas	3	33,046426904	177,037998804	250,40482493	18,0	2668,0	 
experi life	life experiences	life experiences|&|life experience|&|experience life|&|experiences in life	2	107,007477594	439,210895607	288,962640962	67,0	10065,0	 
school	school	school|&|schools|&|School|&|Schools|&|SCHOOL|&|SCHOOLS	1	4083,61633294	4616,73052195	2335,35035498	2969,0	395463,0	 
scholar	scholars	scholars|&|Scholars|&|scholar|&|Scholar	1	248,213975987	957,151092399	289,881419406	138,0	20388,0	 
build relationship	building relationships	building relationships|&|relationship building	2	34,6200662803	180,131672946	170,590197285	21,0	2957,0	 
eros soil	soil erosion	soil erosion	2	34,6200662803	185,468379699	152,571286999	18,0	3212,0	 
student teacher	teachers and students	teachers and students|&|students and teachers|&|student teachers|&|teacher and student|&|student teacher|&|teacher student|&|students or teachers|&|students AND teachers|&|students & teachers|&|student & teachers|&|student and teacher	3	102,286559465	428,29219544	518,574020333	58,0	7807,0	 
upload	upload	upload|&|uploads	1	31,7713889264	168,610315596	231,985780352	36,0	4374,0	 
handout	handouts	handouts|&|handout	1	40,7070920619	206,409267107	130,00085223	38,0	5103,0	 
design project	project design	project design|&|design projects|&|design project|&|projects in design|&|design the project	2	51,9300994205	251,67534412	319,998965222	30,0	3915,0	 
real time	real time	real time	2	58,224656926	273,20607599	240,275003885	35,0	4534,0	 
verif	verification	verification|&|Verification	1	52,6213629093	260,317000691	146,31820447	43,0	5892,0	 
best practic	best practices	best practices|&|best practice	2	355,642499062	1056,08322982	843,711999358	210,0	29941,0	 
live peopl	lives of people	lives of people|&|lives of the people|&|people lives|&|lives people|&|lives of these people|&|lives of both people	3	51,9300994205	249,972565361	208,807806756	31,0	3960,0	 
increas product	increase production	increase production|&|increase productivity|&|increased productivity|&|increasing production|&|increased production|&|increasing productivity|&|increase the production|&|increase in production|&|increase on the production|&|increase the productivity|&|increase both productivity|&|production increase	2	88,1238050772	380,324451881	332,477300239	52,0	7302,0	 
diploma high school	high school diploma	high school diploma|&|high school diplomas|&|high school without a diploma	3	89,3570313554	382,21277807	225,886637796	46,0	7846,0	 
charter	charter	charter|&|Charter|&|charters	1	39,714236158	208,199796426	437,772125629	96,0	13473,0	 
properti	property	property|&|properties|&|Property	1	220,414010677	809,190695759	181,088278657	198,0	27816,0	 
build skill	building skills	building skills|&|skills building|&|skill building|&|building skill	2	50,3564600441	245,755980673	174,857694482	34,0	4849,0	 
speci	species	species	1	95,3141667791	426,442907734	319,081907822	90,0	11948,0	 
