stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
underprivileg youth	underprivileged youth	underprivileged youth	2	17,3100331402	115,895330851	212,038075637	10,0	325,0	 
fee tuition	tuition fee	tuition fee|&|tuition fees|&|tuition and fees	2	15,7363937638	105,359391683	232,180745079	10,0	383,0	 
portion signific	significant portion	significant portion|&|significant portions	2	20,4573118929	131,5999416	171,105016296	13,0	513,0	 
develop male	Male Development	Male Development|&|male development	2	12,589115011	88,7777352371	222,140517295	7,0	261,0	 
health literaci	health literacy	health literacy|&|literacy and health	2	18,8836725165	130,645039767	179,791973537	11,0	393,0	 
health human	human health	human health	2	28,3255087748	172,997548695	347,229872259	18,0	468,0	 
busi small	small businesses	small businesses|&|small business|&|Small businesses	2	347,77430218	1349,31575344	537,298586556	171,0	5610,0	 
centr commun	community centres	community centres|&|community centre	2	22,0309512693	149,824340742	227,113311163	9,0	433,0	 
crime rate	crime rate	crime rate|&|crime rates|&|rates of crime	2	97,5656413355	488,693632981	175,259323819	64,0	2496,0	 
african-american commun	African-American community	African-American community|&|African-American communities	2	59,7982963024	336,697800268	235,911368911	29,0	1284,0	 
app mobil	mobile app	mobile app|&|mobile apps|&|Mobile App	2	86,5501657008	447,396228319	171,099089066	49,0	1366,0	 
bureau justic statist	Bureau of Justice Statistics	Bureau of Justice Statistics	4	29,7856771185	180,418327923	184,463441001	15,0	532,0	 
averag number	average number	average number	2	18,8836725165	122,988369448	175,539787284	12,0	323,0	 
fresh graduat	fresh graduates	fresh graduates|&|fresh graduate	2	17,3100331402	117,719124869	268,41935101	9,0	242,0	 
healthcar servic	healthcare services	healthcare services	2	45,635541915	276,250885955	441,862168394	20,0	653,0	 
money transfer	money transfer	money transfer|&|money transfers|&|transfer money	2	23,6045906457	163,306299708	231,434010212	8,0	257,0	 
busi local	local businesses	local businesses|&|local business	2	171,526692025	775,389400581	295,831356376	91,0	3317,0	 
form partnership	form partnerships	form partnerships|&|form partnership|&|formed partnerships|&|form a partnership|&|partnerships we form	2	23,6045906457	148,468249626	198,778477014	15,0	484,0	 
mente mentor	mentor and mentee	mentor and mentee|&|mentors and mentees|&|mentees and mentors	3	28,3255087748	176,333813105	175,588353827	16,0	786,0	 
african young	Young African	Young African|&|young Africans	2	20,4573118929	135,017419113	172,298114852	11,0	329,0	 
highest incarcer rate	highest incarceration rate	highest incarceration rate|&|highest incarceration rates|&|highest rate of incarceration|&|highest rates of incarceration	3	25,8142535027	162,122835068	198,858648228	12,0	443,0	 
health improv	improved health	improved health|&|health improvement|&|improving health|&|improvement in health|&|improvement of health|&|improvement for health	2	69,2401325607	364,215880638	182,269775929	42,0	1420,0	 
similar situat	similar situations	similar situations|&|similar situation	2	23,6045906457	148,468249626	227,550619283	15,0	669,0	 
america south	South America	South America	2	28,3255087748	176,333813105	202,897180991	25,0	689,0	 
address unemploy	address unemployment	address unemployment|&|addresses unemployment|&|address the unemployment	2	14,1627543874	97,983779825	187,178104952	9,0	268,0	 
care home	home care	home care|&|care home|&|Care Home|&|home without care|&|Home Care|&|home in the care	2	22,0309512693	145,403374429	177,790356559	12,0	424,0	 
child mortal	child mortality	child mortality	2	37,7673450331	223,084598866	246,330410724	30,0	1065,0	 
materi raw	raw materials	raw materials	2	53,5037387969	299,44206679	198,229842159	30,0	775,0	 
fund program	fund programs	fund programs|&|funded programs|&|programs fund	2	18,8836725165	124,631463796	177,867075534	11,0	353,0	 
shortag water	water shortages	water shortages|&|water shortage	2	18,8836725165	124,631463796	169,053939466	11,0	360,0	 
busi model sustain	sustainable business model	sustainable business model|&|sustainable business models	3	21,8428298869	139,081435148	360,656782289	11,0	324,0	 
assist educ	education assistance	education assistance|&|educational assistance|&|assistance with education	2	14,1627543874	96,3156476199	188,802032187	9,0	513,0	 
result test	test results	test results|&|results of test	2	15,7363937638	105,359391683	209,240552432	10,0	329,0	 
discrimin stigma	stigma and discrimination	stigma and discrimination|&|discrimination and stigma|&|discrimination & stigma	3	14,1627543874	99,8749521417	189,156691691	7,0	239,0	 
impact invest	impact investment	impact investment|&|Impact Investing	2	25,1782300221	156,741167204	237,176353709	17,0	521,0	 
busi educ	business education	business education|&|education business	2	29,8991481512	184,317511506	233,210402397	17,0	533,0	 
farmer increas	farmers increase	farmers increase|&|increase farmer|&|increase farmers|&|increase the farmers	2	14,1627543874	96,3156476199	192,303219243	9,0	275,0	 
care patient	patient care	patient care	2	14,1627543874	97,983779825	195,628552176	8,0	186,0	 
area children	children in the area	children in the area|&|children of the area|&|children in the areas|&|areas children|&|children in each area|&|children in areas|&|areas of children	4	14,1627543874	96,3156476199	192,75292081	9,0	238,0	 
countri develop other	other developing countries	other developing countries|&|other developed countries	3	43,6856597738	249,914535969	227,309817973	21,0	744,0	 
citi health	City Health	City Health	2	20,4573118929	161,597256356	287,597663137	3,0	122,0	 
eros soil	soil erosion	soil erosion	2	33,046426904	203,719354822	175,690845245	19,0	792,0	 
student teacher	teachers and students	teachers and students|&|students and teachers|&|student teachers|&|teacher and student|&|student teacher|&|teacher student|&|students or teachers|&|student that the teacher|&|students AND teachers|&|students & teachers|&|student & teachers|&|student and teacher	3	110,154756347	534,770445369	187,959972157	63,0	2082,0	 
care foster system	foster care system	foster care system	3	41,6999479659	265,519103464	170,732913408	11,0	397,0	 
design project	project design	project design|&|project designs|&|design projects|&|design project|&|projects in design|&|design the project	2	56,6510175496	317,056306013	190,677885629	33,0	995,0	 
clinic free	free clinics	free clinics|&|free clinic	2	14,1627543874	102,058150359	209,489078263	6,0	186,0	 
light solar	solar lights	solar lights|&|solar light	2	42,4882631622	267,242849327	240,884037386	15,0	464,0	 
live peopl	lives of people	lives of people|&|lives of the people|&|people lives|&|peoples lives|&|lives people|&|lives of these people|&|lives of both people	3	58,224656926	316,888055176	182,971278641	35,0	1097,0	 
increas product	increase production	increase production|&|increase productivity|&|increased productivity|&|increasing production|&|increasing productivity|&|increases productivity|&|increased production|&|increase the production|&|increase in production|&|increase on the production|&|increase the productivity|&|increase both productivity|&|production increase	2	97,5656413355	485,145400454	208,851209475	57,0	1870,0	 
diploma high school	high school diploma	high school diploma|&|high school diplomas|&|high school without a diploma	3	109,214149434	527,880276189	382,223187796	55,0	2581,0	 
design implement	design and implementation	design and implementation|&|design & implementation|&|design implementation	3	14,1627543874	96,3156476199	178,100700608	9,0	269,0	 
charg fee	charge fees	charge fees|&|charge a fee|&|fees that we charge	2	12,589115011	87,0966931777	320,225872905	8,0	285,0	 
other peopl young	other young people	other young people	3	19,857118079	130,422410011	327,591673135	9,0	238,0	 
advic support	support and advice	support and advice|&|advice and support|&|advice or support|&|support & advice	3	14,1627543874	96,3156476199	172,544528356	9,0	275,0	 
local talent	local talent	local talent	2	14,1627543874	96,3156476199	168,782724702	9,0	337,0	 
blood high pressur	high blood pressure	high blood pressure	3	29,7856771185	182,473327317	174,619246416	14,0	654,0	 
farmer group	farmer groups	farmer groups|&|farmer group|&|groups of farmers|&|farmers group|&|group of farmers|&|farmers groups|&|farmer or group	2	47,2091812914	283,35526414	189,404828862	20,0	896,0	 
healthi live	healthy lives	healthy lives	2	14,1627543874	96,3156476199	206,518258155	9,0	301,0	 
market valu	market value	market value|&|value market	2	29,8991481512	184,317511506	169,733050812	17,0	471,0	 
children orphan	orphaned children	orphaned children|&|orphan children	2	47,2091812914	291,027649746	244,418255716	17,0	620,0	 
america central	Central America	Central America	2	31,4727875276	204,980615747	202,56870713	12,0	335,0	 
financi literaci	financial literacy	financial literacy|&|Financial Literacy	2	245,487742715	1050,52929022	195,631989905	112,0	4199,0	 
alcohol drug	drugs and alcohol	drugs and alcohol|&|alcohol and drugs|&|drug and alcohol|&|drug & alcohol	3	28,3255087748	178,161899552	187,588573279	15,0	585,0	 
church local	local churches	local churches|&|local church	2	17,3100331402	114,24550848	245,713313712	11,0	333,0	 
african women	African women	African women|&|African Women	2	37,7673450331	240,154876984	206,000017518	14,0	432,0	 
asia central	Central Asia	Central Asia	2	15,7363937638	116,267028652	196,340291171	5,0	153,0	 
matter subject	subject matter	subject matter|&|subject matters	2	45,635541915	260,214652961	268,784254384	36,0	1297,0	 
rural women	rural women	rural women	2	72,3874113134	393,968933462	257,767304174	35,0	1285,0	 
first school	first school	first school	2	17,3100331402	117,719124869	255,602091207	9,0	286,0	 
materi wast	waste materials	waste materials	2	26,7518693984	170,109704531	191,518911925	14,0	386,0	 
plant power	power plants	power plants|&|power plant|&|power the plant	2	56,6510175496	332,108660718	177,52908634	23,0	719,0	 
california southern	Southern California	Southern California	2	17,3100331402	114,24550848	274,348810951	11,0	358,0	 
stakehold variou	various stakeholders	various stakeholders	2	17,3100331402	114,24550848	169,918401099	11,0	461,0	 
ill social	social ills	social ills	2	62,9455750551	342,581681272	200,891527583	38,0	1530,0	 
concern issu	issues concerning	issues concerning|&|issues that concern|&|issues and concerns|&|concerning issues|&|issue of concern|&|concern issue|&|concern over issues|&|concerns about the issues|&|issue I concern	2	23,6045906457	148,468249626	169,039651557	15,0	551,0	 
offic space	office space	office space	2	37,7673450331	221,405773812	186,969227741	23,0	730,0	 
care prevent	preventative care	preventative care|&|preventive care|&|Preventive care	2	17,3100331402	115,895330851	194,046265347	10,0	294,0	 
enforc law	law enforcement	law enforcement|&|Law Enforcement	2	92,8447232063	484,061247425	204,321573857	54,0	2046,0	 
gain more	gain more	gain more	2	14,1627543874	96,3156476199	219,504621253	9,0	308,0	 
connect peopl	connecting people	connecting people	2	14,1627543874	97,983779825	196,749378984	8,0	246,0	 
big problem	big problem	big problem|&|big problems	2	37,7673450331	219,798410169	187,097122809	24,0	736,0	 
govern support	government support	government support|&|support government|&|support of government|&|support from government	2	22,0309512693	140,090344908	200,774779801	14,0	511,0	 
prison time	time in prison	time in prison|&|prison by the time	3	18,8836725165	124,631463796	261,195955924	11,0	521,0	 
chariti local	local charities	local charities|&|local charity	2	14,1627543874	96,3156476199	190,909986549	9,0	250,0	 
data point	data points	data points	2	15,7363937638	107,017386244	185,666155244	9,0	408,0	 
advocaci human right	Human Rights Advocacy	Human Rights Advocacy|&|human rights advocacy	3	15,8856944632	106,208993326	322,096681515	8,0	425,0	 
increas risk	increased risk	increased risk	2	17,3100331402	114,24550848	184,645944762	11,0	415,0	 
bioga plant	biogas plants	biogas plants|&|biogas plant	2	29,8991481512	197,333151011	205,345854422	11,0	335,0	 
industri tech	tech industry	tech industry	2	22,0309512693	149,824340742	188,768489126	9,0	309,0	 
carbon emiss	carbon emissions	carbon emissions|&|carbon emission|&|Carbon emissions	2	114,875674476	567,188445374	368,871927352	63,0	1750,0	 
art piec	art pieces	art pieces|&|art piece|&|piece of art	2	17,3100331402	117,719124869	202,046745241	9,0	275,0	 
athlet entertain	athletes and entertainers	athletes and entertainers|&|entertainers and athletes|&|athletes or entertainers	3	14,1627543874	102,058150359	227,538507155	6,0	162,0	 
cycl end	end the cycle	end the cycle|&|end of each cycle|&|end this cycle|&|end of the cycle|&|end of a cycle	3	23,6045906457	150,096798115	207,474213141	14,0	482,0	 
media platform social	social media platforms	social media platforms|&|social media platform	3	39,714236158	235,587011947	170,608106525	17,0	496,0	 
row skid	Skid Row	Skid Row	2	23,6045906457	179,667755163	215,567735964	4,0	116,0	 
materi recycl	recycled materials	recycled materials|&|recyclable materials	2	61,3719356788	343,477664847	362,569129888	30,0	803,0	 
model role	role models	role models|&|role model|&|Role Model|&|roles models	2	298,991481512	1158,26018882	624,22775242	268,0	10322,0	 
children work	work with children	work with children|&|children work|&|children they work|&|work of children|&|work on children|&|work with the children	3	14,1627543874	96,3156476199	179,814955682	9,0	246,0	 
air indoor pollut	indoor air pollution	indoor air pollution	3	41,6999479659	240,589331641	246,714786248	20,0	667,0	 
program train	training program	training program|&|training programs|&|Training Program|&|program trains|&|Training program|&|Training programs|&|Training Programs|&|Program trains	2	405,998959106	1490,00727765	170,694472567	247,0	8492,0	 
joshua saint	Saint Joshua	Saint Joshua	2	18,8836725165	149,166698175	236,28177103	3,0	72,0	 
meet plan	planning meetings	planning meetings	2	14,1627543874	97,983779825	189,73539543	8,0	288,0	 
administr teacher	teachers and administrators	teachers and administrators|&|administrators and teachers|&|teachers or administrators|&|teachers administrators	3	18,8836725165	122,988369448	201,01928446	12,0	566,0	 
part process	part of the process	part of the process|&|part process|&|part of this process|&|part in the process|&|process as a part	4	17,3100331402	114,24550848	217,425059625	11,0	320,0	 
commun develop initi	community development initiatives	community development initiatives|&|Community Development Initiative|&|community through development initiatives|&|community initiatives and community development	3	15,8856944632	106,208993326	340,933908835	8,0	249,0	 
school technic	technical school	technical school|&|technical schools	2	23,6045906457	155,789329746	203,235453239	11,0	456,0	 
citi new york	New York City	New York City|&|City of New York	3	289,913923953	1183,75814866	2188,41831669	108,0	3836,0	 
mentor tutor	tutors and mentors	tutors and mentors|&|mentors and tutors|&|tutor and mentor|&|mentor and tutor|&|tutor or mentor	3	17,3100331402	115,895330851	238,255103626	10,0	447,0	 
abus drug	drug abuse	drug abuse|&|abuse drugs|&|Drug Abuse|&|drugs abuse|&|abuse of drugs	2	102,286559465	508,620177895	250,270505148	64,0	2354,0	 
app smartphon	smartphone app	smartphone app|&|app or smartphone	2	14,1627543874	99,8749521417	227,739616203	7,0	182,0	 
commun servic	community service	community service|&|Community Service|&|community services|&|Community Services|&|Community service|&|services in the community|&|service the communities|&|communities we service|&|services community|&|service of community|&|service in the communities|&|services for the community|&|service of each community|&|service a community|&|services that the community	2	339,906105298	1297,10572635	976,587591499	249,0	9109,0	 
fatherless home	fatherless homes	fatherless homes|&|fatherless home	2	47,2091812914	269,187572029	388,915269622	27,0	890,0	 
board director	board of directors	board of directors|&|Board of Directors|&|board directors	3	67,6664931843	359,239706298	203,68027708	40,0	1316,0	 
household incom	household income	household income|&|household incomes|&|income households|&|income household|&|households with income|&|income of each household	2	129,038428863	618,502045064	200,148844869	80,0	3170,0	 
annual confer	annual conference	annual conference|&|annual conferences	2	20,4573118929	131,5999416	170,310302292	13,0	403,0	 
educ materi	educational materials	educational materials|&|education materials|&|education and materials	2	55,0773781733	304,694573866	180,428421837	32,0	1064,0	 
design use	using design	using design|&|design using	2	14,1627543874	96,3156476199	183,925072819	9,0	281,0	 
fee small	small fee	small fee	2	17,3100331402	114,24550848	173,554541812	11,0	272,0	 
base evid	evidence based	evidence based|&|evidence base	2	34,6200662803	206,104741652	173,601274621	21,0	711,0	 
black men more	more black men	more black men|&|more Black men	3	13,8999826553	96,9316449778	221,003691284	6,0	242,0	 
commun mani	many communities	many communities|&|Many communities	2	36,1937056567	215,473139	179,22485742	21,0	708,0	 
form year	formative years	formative years	2	14,1627543874	96,3156476199	172,891473925	9,0	363,0	 
commun youth	youth in the community	youth in the community|&|youth community|&|community youth|&|youth communities|&|youths and community|&|Community Youth|&|youth and community|&|youths in communities|&|community and youth|&|youths in the community|&|youths of the community|&|community with the youth|&|communities these youth|&|communities and youths|&|youth with community|&|community because youths|&|youth in communities|&|youth in each community|&|youths for the community|&|youth within communities|&|youth into the community|&|community and youths|&|youth and communities|&|Youth Community|&|youth of the communities	4	99,1392807119	506,208532485	217,701660426	51,0	2080,0	 
reduct wast	waste reduction	waste reduction|&|reduction of waste	2	15,7363937638	108,870866472	263,54274041	8,0	229,0	 
busi local owner	local business owners	local business owners	3	23,8285416948	151,72520198	940,817613796	11,0	328,0	 
job more	more jobs	more jobs	2	37,7673450331	221,405773812	345,603284558	23,0	635,0	 
popul rural	rural population	rural population|&|rural populations	2	81,8292475717	428,511466947	316,515825945	43,0	1542,0	 
compon core	core components	core components|&|core component	2	22,0309512693	141,723014031	301,65963423	13,0	469,0	 
model posit role	positive role models	positive role models|&|positive role model	3	113,18557305	536,490122125	1152,53685593	59,0	2402,0	 
employ youth	youth employment	youth employment|&|Youth Employment|&|employed youth|&|youth employability|&|YOUTH EMPLOYMENT|&|employing youth|&|employment for the youth|&|employment for the youths|&|employment of youths|&|youths without employment|&|employment for youth|&|youth and employment|&|employment the youth|&|employment among youths|&|employment among the youths	2	92,8447232063	468,551157174	396,881026219	52,0	1797,0	 
employ opportun	employment opportunities	employment opportunities|&|employment opportunity|&|opportunities for employment|&|Employment opportunities|&|opportunity for employment|&|opportunity and employment|&|opportunity employment	2	237,619545833	962,143960861	218,693282811	166,0	5856,0	 
health world	World Health	World Health|&|world health|&|health around the world	2	15,7363937638	108,870866472	208,921392232	35,0	1031,0	 
creativ solut	creative solutions	creative solutions|&|creative solution	2	20,4573118929	131,5999416	198,287214232	13,0	348,0	 
evalu report	evaluation reports	evaluation reports|&|evaluation report	2	23,6045906457	150,096798115	168,785789714	14,0	648,0	 
commun onlin	online community	online community|&|online communities	2	77,1083294426	400,284123828	176,264754051	45,0	1242,0	 
direct support	direct support	direct support|&|support and direction|&|support or direction	2	23,6045906457	148,468249626	209,952435161	15,0	447,0	 
part variou	various parts	various parts	2	17,3100331402	117,719124869	178,876044461	9,0	317,0	 
group vulner	vulnerable groups	vulnerable groups|&|vulnerable group	2	50,3564600441	281,827827567	196,341946184	30,0	1304,0	 
particip use	Participants use	Participants use|&|participants use|&|participants and use|&|use by participants	2	14,1627543874	96,3156476199	225,667478422	9,0	374,0	 
commun concern	community concerns	community concerns|&|community concern|&|concerns about community	2	17,3100331402	114,24550848	181,543054176	11,0	421,0	 
black teen	black teens	black teens|&|Black teens	2	18,8836725165	122,988369448	292,951620284	12,0	381,0	 
address issu social	address social issues	address social issues|&|address the social issues|&|social issues they address	3	17,8714062711	117,38016901	577,145452829	9,0	293,0	 
summer week	week summer	week summer|&|week during summer	2	14,1627543874	96,3156476199	226,64504664	9,0	345,0	 
abil creativ	creative ability	creative ability|&|creative abilities	2	12,589115011	87,0966931777	181,8164396	8,0	311,0	 
popul urban	urban population	urban population|&|urban populations	2	25,1782300221	158,366132935	180,716475173	15,0	669,0	 
impact perform	performance and impact	performance and impact|&|performance impact|&|impact performance|&|impact or performance|&|impact and performance|&|impact upon performance	3	12,589115011	87,0966931777	191,473320744	8,0	334,0	 
increas skill	increase skills	increase skills|&|increased skills|&|increase they skills|&|increase the skills|&|skills increase	2	15,7363937638	105,359391683	178,607341339	10,0	323,0	 
black children	Black children	Black children|&|black children	2	124,317510734	601,568848952	324,691673593	64,0	2499,0	 
centr develop	Development Centre	Development Centre	2	12,589115011	93,0136229219	175,560189236	8,0	280,0	 
cape town	Cape Town	Cape Town	2	18,8836725165	133,166602856	405,326286679	9,0	294,0	 
south sudan	South Sudan	South Sudan	2	51,9300994205	320,13041472	172,269569259	17,0	569,0	 
peer pressur	peer pressure	peer pressure	2	55,0773781733	301,355528643	179,296398668	37,0	1802,0	 
nigerian youth	Nigerian youths	Nigerian youths	2	18,8836725165	124,631463796	213,414192233	11,0	373,0	 
member product societi	productive members of society	productive members of society|&|productive member of society	4	41,6999479659	242,728259348	236,469935112	19,0	1014,0	 
goal health	health goals	health goals	2	14,1627543874	99,8749521417	188,11590651	7,0	251,0	 
land sustain use	sustainable land use	sustainable land use|&|sustainable use of land	3	15,8856944632	110,779022832	168,58120426	6,0	225,0	 
increas overal	increase overall	increase overall|&|overall increase	2	14,1627543874	96,3156476199	211,381724078	11,0	517,0	 
action commun	community action	community action|&|Community Action|&|Action Community|&|community for action	2	64,5192144315	358,97633046	198,174101761	31,0	1335,0	 
africa east	East Africa	East Africa|&|east Africa	2	136,906625745	658,274369446	265,520864999	67,0	2057,0	 
epidem obes	obesity epidemic	obesity epidemic|&|epidemic of obesity	2	14,1627543874	97,983779825	172,451965699	8,0	241,0	 
high local school	local high schools	local high schools|&|local high school	3	33,7571007343	202,29547162	224,049583724	16,0	621,0	 
achiev gap	achievement gap	achievement gap|&|achievement gaps|&|Achievement Gap	2	176,247610154	811,339145209	641,892505898	95,0	3801,0	 
decreas poverti	decrease poverty	decrease poverty|&|decrease the poverty|&|decrease in poverty	2	14,1627543874	96,3156476199	217,669331282	9,0	290,0	 
awar global	global awareness	global awareness|&|Global Awareness	2	26,7518693984	166,537490154	183,292213207	16,0	513,0	 
achiev student	student achievement	student achievement	2	80,2556081953	422,159316194	333,907593996	44,0	1779,0	 
build charact	character building	character building|&|building character	2	15,7363937638	107,017386244	259,517904456	9,0	331,0	 
fellow student	fellow students	fellow students|&|fellow student	2	22,0309512693	140,090344908	217,158962274	14,0	417,0	 
door revolv	revolving door	revolving door|&|Revolving Door	2	14,1627543874	97,983779825	222,963607981	8,0	283,0	 
serv youth	youth serving	youth serving|&|serving youth	2	17,3100331402	122,069385951	171,587111006	12,0	487,0	 
desir outcom	desired outcomes	desired outcomes|&|desired outcome|&|desirable outcome	2	56,6510175496	308,323513144	173,400273303	35,0	1402,0	 
assist homework	homework assistance	homework assistance|&|assistance with homework	2	15,7363937638	105,359391683	372,425510228	10,0	459,0	 
