stem	main form	forms	n	"sort (type ""x"" to keep the word for indexation"
rural	rural	rural	2	x
academ perform	academic performance	academic performance	2	x
academ research	academic research	academic research|&|academic researchers	2	x
academ skill	academic skills	academic skills	2	x
academ success	academic success	academic success	2	x
access health	access health	access health|&|Health Access|&|health access	2	x
access irrig water	accessing water for irrigation	accessing water for irrigation|&|access for irrigation water	4	x
achiev decreas temperatur	achieved temperature decreases	achieved temperature decreases	3	x
achiev food secur	achieving food security	achieving food security	3	x
activ citizen	active citizens	active citizens |&| active citizenship|&|Active Citizenship	2	x
addit incom	additional income	additional income	2	x
adolesc girl	adolescent girls	adolescent girls|&|Adolescent Girls|&|adolescent girl	2	x
adolesc health	adolescent health	adolescent health	2	x
adolesc	adolescents	adolescents|&|adolescent|&|Adolescent|&|Adolescents|&|adolescence	1	x
adopt	adoption	adoption	1	x
adult educ	adult education	adult education|&|Adult Education	2	x
adult literaci	adult literacy	adult literacy	2	x
adult popul	adult populations	adult populations	2	x
advanc justic social vision	advance the vision of social justice	advance the vision of social justice|&|advance a vision of social justice	6	x
advanc altern polici viabl	advance viable policy alternatives	advance viable policy alternatives	4	x
afford care health	affordable health care	affordable health care	3	x
afford commun hous	affordable housing communities	affordable housing communities	3	x
afford solar solut	affordable solar solutions	affordable solar solutions	3	x
africa educ	Africa education	Africa education|&|education in Africa|&|Africa through the education	2	x
agricultur practic	agricultural practices	agricultural practices|&|AGRICULTURE PRACTICES |&| agricultural activities |&|agricultural production activities	2	x
agricultur wast	agricultural waste	agricultural waste|&|agricultural wastes	2	x
agricultur	agriculture	agriculture|&|Agriculture	1	x
agricultur farmer	agriculture for farmers	agriculture for farmers|&|farmer and Agriculture	3	x
agricultur inform	agriculture information	agriculture information|&|Agriculture information|&|agriculture and information	2	x
agricultur product	agriculture productivity	agriculture productivity|&|agricultural production|&|agriculture production|&|agricultural products|&|agricultural productivity|&|Agricultural productivity	2	x
agricultur sector	agriculture sector	agriculture sector|&|agricultural sector|&|agriculture sectors	2	x
agricultur chain valu	Agriculture Value Chain	Agriculture Value Chain|&|agricultural value chain	3	x
agroforestri	agroforestry	agroforestry	1	x
aid program	aid programs	aid programs |&| HIV programs	2	x
aid law project	AIDS Law Project	AIDS Law Project	3	x
aid orphan	AIDS orphans	AIDS orphans|&|AIDS Orphans |&| HIV Orphans	2	x
aid treatment	AIDS treatment	AIDS treatment|&|treatment of AIDS |&| treatment of HIV |&| HIV treatment 	2	x
air pollut	air pollution	air pollution	2	x
air transport	air transportation	air transportation	2	x
altern educ	alternative education	alternative education|&|Alternative Education	2	x
altern energi	alternative energy	alternative energy|&|energy alternatives|&|energy alternative	2	x
anim husbandri	animal husbandry	animal husbandry	2	x
annual rainfal	annual rainfall	annual rainfall	2	x
advocaci anti-poverti organis	anti-poverty advocacy organisations	anti-poverty advocacy organisations	3	x
apiari	apiary	apiary	1	x
app credit phone	app or phone credit	app or phone credit	4	x
apprenticeship program	apprenticeship programs	apprenticeship programs|&|apprenticeship program	2	x
appropri build techniqu	appropriate building techniques	appropriate building techniques	3	x
aquacultur	aquaculture	aquaculture	1	x
arab youth	Arab youth	Arab youth|&|Arab Youth	2	x
architect engin	architects and engineers	architects and engineers|&|engineers and architects	3	x
art cultur	art and culture	art and culture|&|Arts and Culture	3	x
artist express	artistic expression	artistic expression|&|artistic expressions	2	x
assist program	assistance programs	assistance programs|&|Assistance Program|&|assistance program	2	x
at-risk youth	at-risk youth	at-risk youth	2	x
attend rate	attendance rate	attendance rate|&|attendance rates	2	x
autism	autism	autism|&|Autism	1	x
avoid death	avoidable deaths	avoidable deaths	2	x
bacteria	bacteria	bacteria	1	x
balanc diet	balanced diet	balanced diet|&|BALANCED DIET	2	x
account bank	bank account	bank account|&|bank accounts|&|Bank account	2	x
basic educ	basic education	basic education|&|Basic Education	2	x
basic gsm model	basic GSM model	basic GSM model	3	x
basic care health	basic health care	basic health care |&| basic health services	3	x
basic human right	basic human right	basic human right|&|basic human rights	3	x
basic literaci	basic literacy	basic literacy|&|Basic Literacy	2	x
basic mathemat	basic mathematics	basic mathematics	2	x
