stem	main form	forms	n	C-value	tfidf (number of occ x inverse documents frequency)	Specificity	Total number of Occurrences	Total number of Cooccurrenes	"sort (type ""x"" to keep the word for indexation, ""w"" to delete it)"
electron equip	electronic equipment	electronic equipment|&|Electronic Equipment	2	88,1238050772	317,398402571	437,06099403	52,0	2560,0	 
portion signific	significant portion	significant portion	2	6,29455750551	38,8165356986	158,744413801	4,0	232,0	 
charg state	charge state	charge state|&|state of charge	2	6,29455750551	40,627367047	161,155107732	3,0	76,0	 
program telework	telework programs	telework programs	2	15,7363937638	101,568417617	201,225049416	3,0	273,0	 
health human	human health	human health	2	58,224656926	241,735918102	524,044617236	31,0	1839,0	 
corpor environment manag	corporate environmental management	corporate environmental management	3	11,9142708474	65,8696030408	184,084473165	6,0	253,0	 
separ wast	waste separation	waste separation|&|separation waste	2	6,29455750551	38,8165356986	160,833141504	4,0	344,0	 
resourc sustain use	sustainable resource use	sustainable resource use	3	11,9142708474	65,8696030408	156,830400038	6,0	203,0	 
exist product	existing products	existing products|&|existing product	2	9,44183625827	54,3964683888	190,769076335	6,0	314,0	 
categori	categories	categories|&|category|&|Category	1	70,4927691804	276,274749387	539,301182797	106,0	7173,0	 
major sourc	major source	major source|&|major sources	2	15,7363937638	82,6222274877	242,770424678	10,0	659,0	 
china eastern	eastern China	eastern China	2	6,29455750551	38,8165356986	213,665463968	4,0	265,0	 
end user	end users	end users|&|end user	2	18,8836725165	99,1466729853	207,70935222	10,0	717,0	 
oxid stress	oxidative stress	oxidative stress	2	6,29455750551	40,627367047	201,862983555	3,0	98,0	 
assess cycl hybrid life	hybrid life cycle assessment	hybrid life cycle assessment|&|Hybrid Life Cycle Assessment	4	15,8856944632	83,2561078822	347,644893733	8,0	318,0	 
and/or peer-review respons select	Selection and/or peer-review under responsibility	Selection and/or peer-review under responsibility	5	11,9142708474	65,8696030408	181,671406337	6,0	366,0	 
implement option	implementation options	implementation options|&|implementation of these options|&|options implementation	2	6,29455750551	38,8165356986	171,359472491	4,0	327,0	 
risk	risk	risk|&|risks|&|Risk|&|RISK|&|Risks	1	122,121276186	410,275825164	170,662900532	174,0	8749,0	 
rise	rise	rise|&|Rise	1	38,721380254	171,536425701	159,221433259	47,0	2658,0	 
materi raw	raw materials	raw materials	2	53,5037387969	229,792138686	334,007639701	32,0	2098,0	 
voic	voice	voice|&|Voice	1	4,96427951974	31,7917394567	159,94979914	5,0	170,0	 
distort	distortions	distortions|&|distortion	1	5,95713542369	37,0639731435	155,271143236	6,0	292,0	 
potabl water	potable water	potable water	2	6,29455750551	40,627367047	188,966945205	3,0	188,0	 
assess methodolog	assessment methodology	assessment methodology|&|assessment methodologies	2	6,29455750551	38,8165356986	223,933147809	10,0	638,0	 
carbon dioxid equival	carbon dioxide equivalent	carbon dioxide equivalent|&|carbon dioxide equivalents	3	11,9142708474	65,8696030408	420,008014905	13,0	1043,0	 
govern	government	government|&|governance|&|governments|&|Government|&|Governance|&|Governments	1	189,635477654	559,603347266	316,202896766	207,0	11484,0	 
capac sorption	sorption capacity	sorption capacity	2	6,29455750551	43,1795904865	156,815034769	2,0	90,0	 
in-us stock	in-use stock	in-use stock|&|in-use stocks|&|In-Use Stock|&|stock of in-use	2	25,1782300221	129,79582235	158,050604945	15,0	847,0	 
ecosystem industri	industrial ecosystem	industrial ecosystem|&|industrial ecosystems	2	42,4882631622	184,148412468	807,232166316	25,0	907,0	 
approach interdisciplinari	interdisciplinary approach	interdisciplinary approach|&|interdisciplinary approaches	2	11,0154756347	61,7645033959	217,007999375	7,0	311,0	 
school	schools	schools|&|school|&|School|&|Schools	1	85,3856077396	337,53735878	515,130391769	80,0	3705,0	 
physic properti	physical properties	physical properties	2	11,0154756347	65,4709051201	196,871431806	5,0	327,0	 
scholar	scholars	scholars	1	8,93570313554	53,0253181185	161,938062482	8,0	387,0	 
eros soil	soil erosion	soil erosion|&|Soil erosion	2	22,0309512693	109,890984158	249,536290076	13,0	813,0	 
light rail	light rail	light rail	2	6,29455750551	40,627367047	162,39296402	5,0	345,0	 
electron structur	electronic structure	electronic structure|&|electronic structures	2	11,0154756347	63,4625464536	224,760097902	6,0	230,0	 
photoelectron spectroscopi x-ray	X-ray photoelectron spectroscopy	X-ray photoelectron spectroscopy	3	5,95713542369	37,0639731435	209,741012259	3,0	138,0	 
real time	real time	real time	2	15,7363937638	84,2802220493	182,10163048	9,0	560,0	 
agenda research	research agenda	research agenda	2	11,0154756347	61,7645033959	167,359894751	7,0	423,0	 
design organ	organization design	organization design	2	7,86819688189	48,5206696233	236,097371105	4,0	164,0	 
energi footprint	energy footprint	energy footprint	2	6,29455750551	38,8165356986	180,142486269	4,0	70,0	 
pesticid	pesticide	pesticide|&|pesticides|&|Pesticide	1	32,7642448303	164,404592559	168,491746776	29,0	1461,0	 
design implement	design and implementation	design and implementation|&|implementation of design	3	7,86819688189	46,7649322286	189,782365088	5,0	266,0	 
speci	species	species|&|Species	1	130,064123417	462,922928557	294,144792066	113,0	6496,0	 
co2 evolut rate	rates of CO2 evolution	rates of CO2 evolution	4	5,95713542369	39,4793837021	177,202913841	2,0	100,0	 
number signific	significant number	significant number	2	7,86819688189	46,7649322286	169,405460026	5,0	283,0	 
direct	Directive	Directive|&|direction|&|directions|&|directive|&|directives	1	55,5999306211	230,313610558	175,235432775	88,0	4807,0	 
execut time	execution time	execution time|&|times of execution|&|execution times	2	6,29455750551	40,627367047	156,548516707	3,0	170,0	 
manur	manure	manure	1	15,8856944632	87,8261373877	158,677717504	25,0	1359,0	 
analysi cycl life	life cycle analysis	life cycle analysis|&|Life Cycle Analysis|&|Life cycle analysis	3	103,257014011	347,887997629	919,407668759	52,0	2362,0	 
exergi	exergy	exergy|&|Exergy	1	51,6285070053	224,582748775	206,225455647	65,0	2371,0	 
dialogu	dialogue	dialogue	1	18,864262175	100,084099693	165,870375096	16,0	974,0	 
environment innov	environmental innovations	environmental innovations|&|environmental innovation	2	14,1627543874	77,5203320494	299,043892613	8,0	384,0	 
allow emiss	emission allowances	emission allowances	2	6,29455750551	40,627367047	287,334951751	3,0	65,0	 
decis design	design decisions	design decisions	2	6,29455750551	40,627367047	208,814897455	3,0	222,0	 
gift pupil	gifted pupils	gifted pupils|&|Gifted pupils	2	11,0154756347	71,0978923322	163,057379927	3,0	140,0	 
increas use	increased use	increased use|&|increasing use|&|increase the use|&|increase in the use|&|increase of the use|&|use increases	2	31,4727875276	150,452130615	165,122420672	16,0	993,0	 
emiss futur	future emissions	future emissions	2	6,29455750551	40,627367047	210,075024034	3,0	184,0	 
option technolog	technology options	technology options|&|technological options	2	11,0154756347	65,4709051201	233,081644225	6,0	359,0	 
conduct	conduct	conduct|&|conductivity|&|conductance|&|conductive	1	35,7428125422	159,348222407	185,256256408	44,0	2626,0	 
plant power	power plant	power plant|&|power plants|&|Power Plants|&|POWER PLANT	2	56,6510175496	237,123072309	1254,24824368	49,0	2640,0	 
topolog	topologies	topologies|&|topology	1	5,95713542369	38,150087348	185,26886952	5,0	288,0	 
metadata	metadata	metadata	1	6,94999132764	43,2413020008	179,416745441	6,0	303,0	 
surfac temperatur	surface temperature	surface temperature	2	6,29455750551	43,1795904865	266,46652826	2,0	119,0	 
equilibrium model	equilibrium model	equilibrium model	2	7,86819688189	46,7649322286	158,000005334	9,0	454,0	 
assess cycl life method	life cycle assessment method	life cycle assessment method|&|methods within life cycle assessment|&|methods of life cycle assessment	4	7,94284723159	47,1336161053	190,913052835	4,0	268,0	 
